name,x,y,z,region
E174,-0.01583802816901408,0.026161971830985918,0.07807394366197185,Central
E175,0.0011619718309859195,0.03616197183098592,0.07707394366197184,Central
E176,0.01716197183098592,0.026161971830985918,0.07807394366197185,Central
E177,0.03116197183098592,0.013161971830985919,0.07807394366197185,Central
E178,0.02416197183098592,-0.009838028169014081,0.08407394366197184,Central
E179,0.01716197183098592,-0.02683802816901408,0.08507394366197184,Central
E180,0.0071619718309859194,-0.04483802816901408,0.08007394366197183,Parietal
E181,-0.01283802816901408,-0.04483802816901408,0.08007394366197183,Parietal
E182,-0.03283802816901408,-0.04383802816901408,0.07607394366197184,Parietal
E183,-0.04283802816901408,-0.02683802816901408,0.07907394366197183,Central
E184,-0.04783802816901408,-0.006838028169014081,0.07607394366197184,Central
E185,-0.04383802816901408,0.015161971830985919,0.07107394366197184,Central
E186,-0.03083802816901408,0.032161971830985916,0.07207394366197184,Central
E187,-0.01583802816901408,0.04716197183098592,0.07207394366197184,Prefrontal
E188,0.018161971830985918,0.04616197183098592,0.07207394366197184,Prefrontal
E189,0.030161971830985918,0.032161971830985916,0.07307394366197184,Central
E190,0.04316197183098592,-0.0008380281690140805,0.07807394366197185,Central
E191,0.04116197183098592,-0.02183802816901408,0.08007394366197183,Central
E192,-0.06383802816901409,-0.02283802816901408,0.06607394366197183,Temporal
E193,-0.05283802816901408,-0.06783802816901408,0.03707394366197184,Occipital
E194,-0.04983802816901408,-0.06083802816901408,0.05307394366197184,Occipital
E195,-0.03683802816901408,-0.07483802816901408,0.03907394366197184,Occipital
E196,-0.04683802816901408,-0.07583802816901408,0.01807394366197184,Occipital
E197,-0.06383802816901409,-0.06483802816901409,0.01707394366197184,Occipital
E198,-0.06583802816901409,-0.05683802816901408,0.03707394366197184,Occipital
E199,-0.06383802816901409,-0.04683802816901408,0.05307394366197184,Temporal
E200,-0.04183802816901408,-0.053838028169014084,0.06707394366197184,Parietal
E201,-0.03283802816901408,-0.06683802816901407,0.05807394366197184,Occipital
E202,-0.01883802816901408,-0.07783802816901408,0.04307394366197184,Occipital
E203,-0.028838028169014082,-0.08283802816901407,0.02207394366197184,Occipital
E204,-0.03983802816901408,-0.08083802816901409,0.004073943661971839,Occipital
E205,-0.05783802816901408,-0.06983802816901408,0.004073943661971839,Occipital
E206,-0.06983802816901408,-0.05583802816901408,-0.000926056338028161,Occipital
E207,-0.07483802816901408,-0.04983802816901408,0.02007394366197184,Occipital
E208,-0.07783802816901408,-0.04083802816901408,0.03807394366197184,Temporal
E209,-0.07383802816901408,-0.02983802816901408,0.05307394366197184,Temporal
E210,-0.053838028169014084,-0.03983802816901408,0.06807394366197184,Parietal
E211,-0.02283802816901408,-0.05583802816901408,0.07307394366197184,Parietal
E212,-0.011838028169014081,-0.06983802816901408,0.06107394366197184,Occipital
E213,-0.00783802816901408,-0.08483802816901408,0.027073943661971838,Occipital
E214,-0.01983802816901408,-0.08683802816901408,0.008073943661971839,Occipital
E215,-0.04883802816901408,-0.07483802816901408,-0.01392605633802816,Occipital
E216,-0.06083802816901408,-0.06383802816901409,-0.01792605633802816,Occipital
E217,-0.07183802816901408,-0.04783802816901408,-0.01692605633802816,Occipital
E218,-0.07883802816901408,-0.03983802816901408,-0.000926056338028161,Temporal
E219,-0.08283802816901407,-0.03383802816901408,0.01707394366197184,Temporal
E220,-0.08283802816901407,-0.024838028169014082,0.036073943661971836,Temporal
E221,-0.08383802816901408,-0.02183802816901408,-0.005926056338028161,Temporal
E222,-0.06883802816901408,-0.02983802816901408,-0.06492605633802816,Lateral-Inferior/Jaw
E223,-0.07483802816901408,-0.03783802816901408,-0.03492605633802816,Cerebellar/Neck
E224,-0.06683802816901407,-0.04183802816901408,-0.05192605633802816,Cerebellar/Neck
E225,-0.05683802816901408,-0.04583802816901408,-0.07092605633802816,Cerebellar/Neck
E226,-0.06083802816901408,-0.03083802816901408,-0.08292605633802816,Lateral-Inferior/Jaw
E227,-0.06683802816901407,-0.01483802816901408,-0.09092605633802817,Lateral-Inferior/Jaw
E228,-0.07083802816901408,-0.0008380281690140805,-0.09392605633802815,Lateral-Inferior/Jaw
E229,-0.07483802816901408,0.006161971830985919,-0.07392605633802816,Lateral-Inferior/Jaw
E230,-0.07383802816901408,0.02116197183098592,-0.05892605633802816,Lateral-Inferior/Jaw
E231,-0.07783802816901408,0.011161971830985919,-0.041926056338028164,Lateral-Inferior/Jaw
E232,-0.08383802816901408,0.005161971830985919,-0.02492605633802816,Temporal
E233,-0.07883802816901408,-0.03483802816901408,-0.019926056338028162,Temporal
E234,-0.06583802816901409,-0.05183802816901408,-0.03292605633802816,Cerebellar/Neck
E235,-0.05483802816901408,-0.05583802816901408,-0.05292605633802816,Cerebellar/Neck
E236,-0.05083802816901408,-0.04583802816901408,-0.08792605633802816,Cerebellar/Neck
E237,-0.053838028169014084,-0.03383802816901408,-0.10692605633802817,Lateral-Inferior/Jaw
